"Date","Open","High","Low","Close","Volume"
"1997-07-01",7672.79,8328.99,7613.53,8222.61,568452200
"1997-06-02",7331.04,7868.44,7214.29,7672.79,543785200
"1997-05-01",7008.99,7430.2,6891.39,7331.04,506850400
"1997-04-01",6583.48,7081.23,6315.84,7008.99,501112200
"1997-03-03",6877.74,7158.28,6532.49,6583.48,529324500
"1997-02-03",6813.09,7112.87,6683.4,6877.74,538249400
"1997-01-02",6448.27,6953.55,6318.96,6813.09,555111800
"1996-12-02",6521.7,6623.96,6206.83,6448.27,451853800
"1996-11-01",6029.38,6606.3,5975.34,6521.7,452968000
"1996-10-01",5882.17,6162.8,5833.72,6029.38,443384300
"1996-09-03",5616.21,5952.08,5550.37,5882.17,423201000
"1996-08-01",5528.91,5761.95,5507.83,5616.21,347214000
"1996-07-01",5654.63,5769.88,5170.11,5528.91,391764000
"1996-06-03",5643.18,5770.61,5559.69,5654.63,419958000
"1996-05-01",5569.08,5833.04,5327.74,5643.18,421495000
"1996-04-01",5587.14,5737.07,5382.66,5569.08,441431400
"1996-03-01",5485.62,5755.86,5395.3,5587.14,447510000
"1996-02-01",5395.3,5693.36,5319.43,5485.62,460809500
"1996-01-02",5117.12,5433.24,5000.07,5395.3,439102700
"1995-12-01",5074.49,5266.69,5016.68,5117.12,377297500
"1995-11-01",4755.48,5143.13,4719.72,5074.49,381427100
"1995-10-02",4789.08,4845.08,4638.43,4755.48,382475000
"1995-09-01",4610.56,4839.48,4594.71,4789.08,369478000
"1995-08-01",4708.47,4772.56,4552.8,4610.56,323356000
"1995-07-03",4556.1,4767.99,4530.26,4708.47,379761000
"1995-06-01",4465.14,4614.2,4394.59,4556.1,357505400
"1995-05-01",4321.27,4480.7,4278.73,4465.14,359606800
"1995-04-03",4157.69,4348.94,4129.68,4321.27,348205200
"1995-03-01",4011.05,4213.71,3935.31,4157.69,353969500
"1995-02-01",3843.86,4034.62,3809.21,4011.05,350035700
"1995-01-03",3834.44,3955.56,3794.4,3843.86,345693300
"1994-12-01",3739.23,3882.21,3638.97,3834.44,314557100
"1994-11-01",3908.12,3919.9,3612.05,3739.23,312217600
"1994-10-03",3843.19,3958.25,3736.2,3908.12,316010400
"1994-09-01",3913.42,3972.72,3804.5,3843.19,307093300
"1994-08-01",3764.5,3954.54,3722.41,3913.42,293590400
"1994-07-01",3624.96,3782.63,3611.04,3764.5,262081000
"1994-06-01",3758.37,3839.88,3603.92,3624.96,279192700
"1994-05-02",3681.69,3788.76,3609.71,3758.37,280677100
"1994-04-04",3633.08,3733.15,3520.8,3681.69,317263100
"1994-03-01",3832.02,3911.78,3544.12,3635.96,332746000
"1994-02-01",3978.36,3998.06,3811.76,3832.02,322085700
"1994-01-03",3754.09,4002.84,3715.24,3978.36,331091900
"1993-12-01",3683.95,3818.92,3673.33,3754.09,270919000
"1993-11-01",3680.59,3749.9,3585.86,3683.95,294165700
"1993-10-01",3555.12,3713.57,3541.71,3680.59,295792300
"1993-09-01",3651.25,3665.5,3501.47,3555.12,276908000
"1993-08-02",3539.47,3681.71,3523.54,3651.25,260793600
"1993-07-01",3516.08,3604.86,3443.28,3539.47,264088500
"1993-06-01",3527.43,3577.25,3445.77,3516.08,264065000
"1993-05-03",3427.55,3582.23,3402.42,3527.43,265250500
"1993-04-01",3435.11,3499.41,3338.39,3427.55,287085200
"1993-03-01",3370.81,3497.25,3334.07,3435.11,258309500
"1993-02-01",3310.03,3472.94,3262.48,3370.81,294275700
"1993-01-04",3301.11,3338.12,3219.25,3310.03,274988000
"1992-12-01",3305.16,3364.87,3229.79,3301.11,227053600
"1992-11-02",3226.28,3326.51,3176.84,3305.16,218204500
"1992-10-01",3271.66,3291.39,3087.41,3226.28,212150000
"1992-09-01",3257.35,3391.35,3226.55,3271.66,199083300
"1992-08-03",3393.78,3413.23,3200.86,3257.35,181093300
"1992-07-01",3318.52,3414.85,3255.43,3393.78,201045400
"1992-06-01",3396.88,3435.27,3242.32,3318.52,200209500
"1992-05-01",3359.12,3433.98,3316.64,3396.88,191438000
"1992-04-01",3235.47,3387.97,3141.77,3359.12,215502300
"1992-03-02",3267.67,3318.42,3176.21,3235.47,192259500
"1992-02-03",3223.39,3307.47,3193.42,3267.67,234001000
"1992-01-02",3168.83,3313.51,3119.86,3223.39,247368600
"1991-12-02",2894.68,3204.61,2832.29,3168.83,209394700
"1991-11-01",3069.1,3091.91,2861.14,2894.68,189830500
"1991-10-01",3016.77,3091.01,2925.54,3069.1,184610400
"1991-09-03",3043.6,3066.64,2963.1,3016.77,169418500
"1991-08-01",3024.82,3068.65,2836.31,3043.6,176133600
"1991-07-01",2911.67,3039.58,2897.36,3024.82,165125000
"1991-06-03",3027.5,3057.47,2879.25,2906.75,170287500
"1991-05-01",2887.87,3044.5,2834.53,3027.5,180868100
"1991-04-01",2913.86,3030.45,2848.51,2887.87,191855400
"1991-03-01",2882.18,3017.82,2829.21,2913.86,203880500
"1991-02-01",2736.39,2955.2,2694.31,2882.18,237928900
"1991-01-02",2633.66,2747.28,2447.03,2736.39,175606300
"1990-12-03",2559.65,2662.62,2534.65,2633.66,161542000
"1990-11-01",2442.33,2581.19,2415.59,2559.65,159075700
"1990-10-01",2452.48,2565.35,2344.31,2442.33,166376500
"1990-09-04",2614.36,2665.35,2367.82,2452.48,151916300
"1990-08-01",2905.2,2931.19,2459.41,2614.36,178727800
"1990-07-02",2880.69,3024.26,2833.17,2905.2,168768000
"1990-06-01",2876.66,2956.93,2821.53,2880.69,160561400
"1990-05-01",2656.76,2908.21,2651.35,2876.66,171016800
"1990-04-02",2707.21,2793.47,2627.7,2656.76,146199000
"1990-03-01",2627.25,2775,2607.88,2707.21,155573600
"1990-02-01",2590.54,2674.32,2540.99,2627.25,165600500
"1990-01-02",2753.2,2834.04,2513.06,2590.54,181041300
"1989-12-01",2706.27,2784.77,2658.7,2753.2,167968000
"1989-11-01",2645.08,2718.22,2563.11,2706.27,151683800
"1989-10-02",2692.82,2809.08,2496.93,2645.08,190398600
"1989-09-01",2737.27,2768.24,2636.78,2692.82,159516500
"1989-08-01",2660.66,2758.73,2619.71,2737.27,177996500
"1989-07-03",2440.06,2668.25,2431.53,2660.66,170784000
"1989-06-01",2480.15,2544.95,2412.94,2440.06,188049000
"1989-05-01",2418.8,2521.63,2356.3,2480.15,177720400
"1989-04-03",2293.62,2433.1,2282.07,2418.8,169782000
"1989-03-01",2258.39,2351.07,2234.46,2293.62,167067700
"1989-02-01",2342.32,2369.29,2232.14,2258.39,177037300
"1989-01-03",2168.39,2350.18,2127.14,2342.32,177441400
"1988-12-01",2114.51,2193.75,2075.39,2168.57,141529000
"1988-11-01",2148.65,2185.99,2026.67,2114.51,141934700
"1988-10-03",2112.91,2195.06,2082.33,2148.65,169458000
"1988-09-01",2027.56,2140.29,1988.44,2112.91,154057100
"1988-08-01",2128.73,2151.85,1978.66,2031.65,150345600
"1988-07-01",2141.71,2169.45,2047.3,2128.73,176540500
"1988-06-01",2031.12,2169.1,2021.34,2141.71,206096300
"1988-05-02",2032.33,2071.95,1921.58,2031.12,165665700
"1988-04-04",1988.06,2121.35,1968,2032.33,169819000
"1988-03-01",2071.62,2110.91,1951.26,1988.06,182296900
"1988-02-01",1958.22,2078.08,1878.15,2071.62,196464500
"1988-01-04",1950.76,2075.27,1845.99,1958.22,185329000
"1987-12-01",1833.55,2019.56,1733.92,1938.83,186222200
"1987-11-02",1993.53,2027.52,1795.26,1833.55,192921500
"1987-10-01",2596.28,2662.37,1616.21,1993.53,290813600
"1987-09-01",2662.95,2695.47,2468.99,2596.28,186014200
"1987-08-03",2572.07,2746.65,2525.99,2662.95,201342800
"1987-07-01",2418.53,2588.33,2391.26,2572.07,188559000
"1987-06-01",2291.57,2466.04,2260.62,2418.53,170931800
"1987-05-01",2286.36,2380.77,2188.53,2291.57,178560000
"1987-04-01",2304.69,2428.41,2180.54,2286.36,195942800
"1987-03-02",2223.99,2399.57,2209.08,2304.69,188040900
"1987-02-02",2158.04,2266.45,2134.42,2223.99,190952600
"1987-01-02",1897.36,2214.57,1897.36,2158.04,200203800
"1986-12-01",1914.23,1971.74,1880.48,1895.95,154548600
"1986-11-03",1877.71,1926.46,1797.1,1914.23,159703100
"1986-10-01",1767.58,1894.69,1761.25,1877.71,137562600
"1986-09-02",1898.34,1933.35,1732.99,1767.58,156723800
"1986-08-01",1775.31,1918.59,1730.6,1898.34,134628500
"1986-07-01",1892.72,1922.67,1741.56,1775.31,142845400
"1986-06-02",1876.71,1908.62,1816.07,1892.72,132604700
"1986-05-01",1783.98,1898.22,1746.53,1876.71,134830400
"1986-04-01",1818.61,1870.16,1712.52,1783.98,153995400
"1986-03-03",1709.06,1849.74,1663.07,1818.61,167450000
"1986-02-03",1570.99,1732.57,1564.33,1709.06,162673600
"1986-01-02",1546.67,1582.91,1491.74,1570.99,137386800
"1985-12-02",1472.13,1570.87,1450.34,1546.67,138908500
"1985-11-01",1374.31,1486.93,1367.78,1472.13,126471500
"1985-10-01",1328.63,1384.63,1315.19,1374.31,115858200
"1985-09-03",1334.01,1348.23,1283.71,1328.63,103355700
"1985-08-01",1347.45,1361.9,1303.65,1334.01,91128100
"1985-07-01",1335.46,1372.2,1313.4,1347.45,117603100
"1985-06-03",1315.41,1341.17,1285.39,1335.46,111110000
"1985-05-01",1258.06,1320.79,1235.53,1315.41,112929000
"1985-04-01",1266.78,1290.3,1245.8,1258.06,99699000
"1985-03-01",1284.01,1309.96,1242.82,1266.78,107356600
"1985-02-01",1286.11,1307.53,1263.91,1284.01,120806300
"1985-01-02",1211.57,1305.1,1178.67,1286.77,127555000
"1984-12-03",1188.94,1223.61,1154.7,1211.57,93063000
"1984-11-01",1207.38,1247.46,1180.76,1188.94,87374200
"1984-10-01",1206.71,1246.02,1158.24,1207.38,95744300
"1984-09-04",1222.39,1248.23,1189.82,1206.71,97242600
"1984-08-01",1115.28,1253.75,1114.95,1224.38,112364300
"1984-07-02",1132.4,1139.47,1078.95,1115.28,83290900
"1984-06-01",1106.25,1144.83,1079.39,1132.4,90649500
"1984-05-01",1170.75,1194.41,1083.19,1104.85,91883600
"1984-04-02",1164.89,1182.06,1117.25,1170.75,89513500
"1984-03-01",1154.63,1197.24,1131.7,1164.89,87568600
"1984-02-01",1220.58,1226.55,1114.95,1154.63,101281000
"1984-01-03",1258.64,1295.44,1209.59,1220.58,110912800
"1983-12-01",1276.02,1285.47,1231.2,1258.64,91461900
"1983-11-01",1225.2,1296.95,1208.74,1276.02,92130400
"1983-10-03",1233.13,1286.69,1214.63,1225.2,89241900
"1983-09-01",1216.16,1270.73,1197.36,1233.13,86222300
"1983-08-01",1199.22,1219.82,1152.14,1216.16,77705600
"1983-07-01",1221.96,1258.51,1179.79,1199.22,84270500
"1983-06-01",1199.98,1260.72,1176.78,1221.96,93189500
"1983-05-02",1225.43,1244.49,1174.25,1199.98,96525700
"1983-04-04",1130.03,1235.49,1102.17,1226.2,94631000
"1983-03-01",1112.16,1158.48,1105.07,1130.03,87064700
"1983-02-01",1075.7,1135.26,1046.82,1112.16,89431500
"1983-01-03",1046.54,1105.13,1013.43,1075.7,91654200
"1982-12-01",1039.28,1077.91,983.35,1046.54,78372200
"1982-11-01",991.72,1078.46,983.72,1039.28,92881400
"1982-10-01",896.25,1051.88,892.02,991.72,102066100
"1982-09-01",901.31,951.16,888.7,896.25,76697600
"1982-08-02",808.6,910.96,769.98,901.31,79960400
"1982-07-01",811.93,843.8,787.39,808.6,56402800
"1982-06-01",819.54,824.3,784.25,811.93,53445900
"1982-05-03",848.36,876.52,815.54,819.54,53518000
"1982-04-01",822.77,871.19,820.49,848.36,56413800
"1982-03-01",824.39,840.66,786.15,822.77,57043000
"1982-02-01",866.34,866.34,802.23,824.39,53475200
"1982-01-04",875,887.37,832.57,871.1,52087000
"1981-12-01",888.98,898.5,862.82,875,45465900
"1981-11-02",855.97,892.79,834.57,888.98,51775000
"1981-10-01",849.98,885.84,823.63,852.55,48051300
"1981-09-01",881.47,892.41,807.46,849.98,47611400
"1981-08-03",952.34,961.47,879.09,881.47,45757600
"1981-07-01",976.88,978.98,918.66,952.34,45338600
"1981-06-01",991.75,1023.02,972.69,976.88,51932700
"1981-05-01",997.75,1005.22,956.68,991.75,47850500
"1981-04-01",1003.87,1030.98,981.81,997.75,55782800
"1981-03-02",974.58,1021.79,955.71,1003.87,55705000
"1981-02-02",947.1,980.87,923.89,974.58,45764200
"1981-01-02",963.99,1013.14,930.89,947.27,47460900
"1980-12-01",991.13,991.13,894.45,963.99,48493600
"1980-11-03",924.49,1009.39,924.49,993.34,56797200
"1980-10-01",932.42,987.29,911.6,924.49,46604300
"1980-09-02",932.59,980.72,918,932.42,52285700
"1980-08-01",935.32,972.35,918.52,932.59,47579500
"1980-07-01",867.92,946.93,862.63,935.32,48926300
"1980-06-02",850.85,896.33,840.7,867.92,40931900
"1980-05-01",817.06,866.13,795.82,850.85,38082800
"1980-04-01",785.75,818.52,751.37,817.06,33570900
"1980-03-03",863.14,868.69,729.95,785.75,43442300
"1980-02-01",875.85,918.17,847.27,863.14,49767000
"1980-01-02",838.74,897.87,809.04,875.85,55642700
"1979-12-03",822.35,851.54,814.76,838.74,37087000
"1979-11-01",815.7,838.57,792.24,822.35,32577600
"1979-10-01",877.73,904.86,795.99,815.7,38509100
"1979-09-04",887.63,902.13,857.85,878.58,39467800
"1979-08-01",846.42,893.6,839.08,887.63,37018200
"1979-07-02",840.61,857,818,846.42,34052300
"1979-06-01",822.33,853.06,817.74,841.98,36685700
"1979-05-01",854.9,863.22,815.14,822.33,29729000
"1979-04-02",859.93,884.62,847.28,854.9,32354500
"1979-03-01",808.82,876.99,807.26,862.18,30898600
